"","Referência","Quartos","Banheiros","Suítes","Vagas.de.Garagem","Bairro","Área.Total","Valor.Venda"
"1"," 132860-4",3,2,0,2," Uvaranas",164,430000
"4"," 146507-4",3,2,1,2," Uvaranas",80,169900
"6"," 120001-4",1,1,0,2," Boa Vista",360,150000
"10"," 147038-4",2,1,0,1," Uvaranas",40,130000
"12"," 126629-4",2,1,0,1," Contorno / Sta. Paula",45,126900
"16"," 126900-4",4,1,1,4," Estrela",249,650000
"18"," 134592-4",4,6,2,3," Estrela",990,1800000
"19"," 142989-4",6,4,1,4," Uvaranas",638,1250000
"20"," 102109-4",3,4,1,2," Orfãs",335,1100000
"21"," 134491-4",3,4,1,4," Uvaranas",194,7e+05
"23"," 148409-4",3,3,1,2," Jardim Carvalho",150,690000
"31"," 144332-4",3,2,1,2," Oficinas",152,680000
"33"," 128538-4",3,3,0,2," Estrela",250,680000
"35"," 120198-4",2,2,1,3," Jardim Carvalho",1683,680000
"39"," 125978-4",3,2,1,2," Neves",180,680000
"40"," 147195-4",3,3,2,2," Oficinas",149,680000
"41"," 126585-4",3,3,1,2," Uvaranas",180,680000
"43"," 154838-4",3,3,1,4," Orfãs",476,657200
"44"," 102701-4",3,3,1,4," Chapada",290,650000
"48"," 151118-4",3,4,2,2," Orfãs",265,650000
"51"," 95221-4",3,2,1,2," Estrela",170,650000
"54"," 79256-4",4,5,2,4," Uvaranas",230,650000
"55"," 154546-4",3,3,1,1," Oficinas",180,650000
"57"," 143442-4",3,2,2,2," Orfãs",445,650000
"59"," 148013-4",4,4,1,3," Uvaranas",896,650000
"60"," 23504-4",7,4,2,6," Jardim Carvalho",420,650000
"61"," 145684-4",3,3,1,1," Chapada",220,650000
"62"," 154409-4",3,3,1,4," Oficinas",280,650000
"63"," 151175-4",5,3,2,4," Oficinas",230,650000
"64"," 133639-4",4,2,1,1," Orfãs",512,650000
"65"," 128595-4",3,2,1,2," Jardim Carvalho",161,650000
"67"," 131516-4",3,4,1,2," Oficinas",490,650000
"70"," 42619-4",5,6,2,2," Oficinas",260,650000
"73"," 111304-4",4,4,1,1," Orfãs",230,650000
"74"," 126474-4",4,2,1,2," Estrela",222,650000
"75"," 130854-4",4,3,1,5," Uvaranas",260,650000
"78"," 154909-4",3,4,3,2," Uvaranas",182,650000
"84"," 144750-4",3,3,1,2," Estrela",247,650000
"85"," 146269-4",4,4,0,1," Neves",300,650000
"86"," 17685-4",3,3,1,2," Oficinas",165,650000
"88"," 144972-4",3,1,0,3," Orfãs",210,650000
"89"," 143386-4",4,4,1,5," Oficinas",160,650000
"91"," 142840-4",3,4,2,5," Jardim Carvalho",134,649000
"92"," 154650-4",3,2,1,4," Contorno / Sta. Paula",462,640000
"94"," 100709-4",3,2,1,1," Orfãs",140,636000
"96"," 132911-4",4,3,1,2," Orfãs",660,630000
"97"," 147581-4",5,3,1,2," Nova Rússia",215,625000
"100"," 85786-4",3,3,1,3," Jardim Carvalho",200,620000
"104"," 147438-4",3,3,1,2," Uvaranas",177,620000
"105"," 106972-4",3,2,1,3," Jardim Carvalho",257,620000
"107"," 22922-4",4,2,1,4," Oficinas",500,610000
"108"," 102672-4",4,3,1,4," Ronda",160,6e+05
"109"," 106950-4",4,2,1,2," Uvaranas",250,6e+05
"110"," 127503-4",3,5,1,2," Nova Rússia",275,6e+05
"111"," 107140-4",3,2,1,2," Nova Rússia",448,6e+05
"112"," 127513-4",4,3,1,5," Uvaranas",260,6e+05
"113"," 20900-4",4,1,2,5," Ronda",990,6e+05
"114"," 133362-4",3,3,2,2," Jardim Carvalho",600,6e+05
"115"," 134573-4",3,2,1,1," Oficinas",220,6e+05
"118"," 143207-4",4,3,2,5," Nova Rússia",363,6e+05
"119"," 21788-4",3,1,0,1," Oficinas",490,6e+05
"120"," 131473-4",3,2,0,2," Orfãs",462,6e+05
"124"," 147067-4",3,3,1,4," Jardim Carvalho",170,6e+05
"129"," 133434-4",5,2,1,1," Oficinas",170,6e+05
"130"," 147123-4",3,1,1,6," Uvaranas",330,6e+05
"131"," 130447-4",4,3,1,2," Estrela",462,6e+05
"134"," 107549-4",3,2,1,3," Estrela",462,6e+05
"135"," 150732-4",3,3,1,2," Uvaranas",164,6e+05
"136"," 129054-4",2,3,1,3," Oficinas",712,6e+05
"138"," 101682-4",3,1,1,4," Uvaranas",230,6e+05
"139"," 146979-4",4,3,1,4," Nova Rússia",448,6e+05
"140"," 148163-4",3,2,1,2," Nova Rússia",275,6e+05
"145"," 102659-4",3,4,1,3," Uvaranas",436,6e+05
"150"," 150697-4",3,4,1,2," Jardim Carvalho",147,595000
"153"," 131488-4",3,1,0,2," Uvaranas",660,590000
"155"," 107472-4",3,2,0,1," Centro",110,590000
"156"," 143095-4",3,3,1,2," Estrela",260,590000
"157"," 147201-4",3,3,1,2," Jardim Carvalho",170,590000
"158"," 126151-4",5,3,1,2," Boa Vista",215,590000
"159"," 23624-4",3,3,1,5," Uvaranas",1000,580000
"160"," 127680-4",3,3,1,3," Uvaranas",235,580000
"161"," 131510-4",2,2,0,2," Oficinas",420,580000
"162"," 131514-4",3,2,1,3," Jardim Carvalho",327,580000
"165"," 148078-4",3,4,2,2," Jardim Carvalho",382,580000
"168"," 104246-4",3,3,1,1," Orfãs",485,580000
"174"," 155042-4",3,4,2,2," Ronda",190,570000
"175"," 154624-4",3,4,2,2," Ronda",190,570000
"176"," 128579-4",3,2,1,3," Ronda",363,570000
"177"," 129262-4",3,3,1,1," Estrela",236,570000
"178"," 148981-4",3,2,1,2," Boa Vista",205,560000
"181"," 120222-4",3,2,1,3," Ronda",300,560000
"182"," 146204-4",4,4,2,4," Nova Rússia",200,560000
"183"," 147373-4",3,2,1,2," Uvaranas",260,560000
"185"," 144553-4",3,3,1,2," Jardim Carvalho",170,550000
"186"," 134539-4",4,3,1,4," Orfãs",160,550000
"192"," 151125-4",4,3,1,3," Jardim Carvalho",432,550000
"193"," 127581-4",4,3,1,2," Nova Rússia",320,550000
"195"," 143718-4",3,3,1,1," Centro",130,550000
"197"," 103091-4",3,3,1,2," Boa Vista",480,550000
"198"," 40484-4",3,2,2,4," Uvaranas",720,550000
"200"," 51581-4",3,1,1,2," Centro",448,550000
"216"," 93628-4",4,3,1,3," Oficinas",221,550000
"217"," 102388-4",3,3,1,2," Oficinas",500,550000
"218"," 150415-4",4,2,0,4," Oficinas",293,550000
"220"," 107006-4",3,2,1,1," Uvaranas",220,550000
"222"," 147235-4",5,5,3,5," Uvaranas",397,550000
"224"," 151636-4",2,3,2,3," Jardim Carvalho",134,547000
"230"," 147485-4",3,3,1,2," Uvaranas",185,535000
"233"," 127759-4",4,3,1,2," Nova Rússia",210,532000
"237"," 146632-4",3,2,0,4," Boa Vista",226,530000
"238"," 154654-4",2,3,0,2," Neves",225,530000
"242"," 127435-4",3,2,0,1," Jardim Carvalho",140,530000
"243"," 129878-4",3,3,1,2," Nova Rússia",180,520000
"245"," 127534-4",2,3,0,2," Neves",348,520000
"247"," 154401-4",3,3,1,2," Uvaranas",150,520000
"249"," 119785-4",3,1,0,2," Uvaranas",660,520000
"250"," 107578-4",3,1,1,1," Oficinas",462,520000
"255"," 153605-4",4,2,1,2," Jardim Carvalho",155,510000
"256"," 144409-4",3,2,1,2," Orfãs",300,510000
"257"," 151174-4",3,2,0,2," Oficinas",177,510000
"259"," 146005-4",3,2,0,3," Jardim Carvalho",145,510000
"264"," 131694-4",2,2,1,2," Chapada",350,5e+05
"269"," 127672-4",3,3,1,2," Nova Rússia",140,5e+05
"272"," 84064-4",3,2,1,2," Nova Rússia",180,5e+05
"274"," 143717-4",3,1,0,1," Centro",128,5e+05
"275"," 146868-4",3,3,1,2," Nova Rússia",180,5e+05
"277"," 67410-4",3,2,1,1," Estrela",410,5e+05
"278"," 142567-4",3,2,0,3," Oficinas",100,5e+05
"283"," 127055-4",3,1,0,1," Nova Rússia",330,5e+05
"287"," 144944-4",3,3,1,2," Nova Rússia",200,5e+05
"289"," 148359-4",3,4,1,3," Oficinas",250,5e+05
"290"," 106942-4",3,3,0,4," Jardim Carvalho",170,5e+05
"291"," 102061-4",3,2,1,2," Oficinas",270,5e+05
"292"," 17880-4",4,2,0,3," Jardim Carvalho",200,5e+05
"293"," 132848-4",4,1,1,2," Oficinas",183,499000
"294"," 110476-4",3,3,1,2," Oficinas",180,499000
"296"," 154322-4",3,3,1,1," Oficinas",104,499000
"297"," 107039-4",4,4,1,1," Oficinas",480,499000
"298"," 142969-4",3,2,1,3," Contorno / Sta. Paula",240,495000
"299"," 127707-4",3,2,0,1," Uvaranas",76,495000
"300"," 142441-4",4,3,1,4," Contorno / Sta. Paula",240,495000
"303"," 134746-4",3,3,1,3," Colônia Dona Luiza",180,495000
"304"," 102670-4",3,3,1,3," Ronda",170,490000
"305"," 127461-4",3,3,1,2," Nova Rússia",135,490000
"308"," 105657-4",3,2,0,2," Olarias",314,490000
"311"," 147088-4",4,1,2,4," Contorno / Sta. Paula",307,490000
"312"," 133396-4",3,3,1,2," Uvaranas",207,490000
"316"," 147403-4",3,1,0,4," Neves",282,490000
"317"," 127448-4",3,2,1,2," Uvaranas",462,490000
"318"," 143411-4",3,3,0,4," Neves",528,480000
"319"," 131475-4",3,3,0,2," Chapada",214,480000
"320"," 107292-4",3,1,0,2," Olarias",164,480000
"324"," 107371-4",3,2,1,1," Uvaranas",170,480000
"326"," 61858-4",3,3,1,3," Oficinas",544,480000
"331"," 146479-4",4,4,2,3," Uvaranas",220,480000
"332"," 126133-4",3,3,1,2," Jardim Carvalho",160,480000
"333"," 148181-4",3,3,1,2," Jardim Carvalho",116,480000
"336"," 146516-4",3,2,1,4," Jardim Carvalho",150,475000
"337"," 147119-4",3,3,1,2," Jardim Carvalho",150,475000
"338"," 146050-4",3,3,1,4," Jardim Carvalho",462,475000
"340"," 76323-4",3,2,1,2," Oficinas",488,470000
"341"," 151070-4",3,2,0,3," Estrela",200,470000
"344"," 133653-4",3,3,0,1," Uvaranas",140,470000
"345"," 108451-4",3,3,0,2," Uvaranas",190,470000
"346"," 145977-4",3,4,3,3," Oficinas",117,470000
"348"," 132079-4",3,3,1,3," Uvaranas",528,470000
"351"," 151651-4",4,2,0,2," Uvaranas",220,470000
"353"," 119887-4",3,4,1,2," Uvaranas",230,469000
"355"," 154631-4",3,2,1,2," Uvaranas",120,460000
"357"," 147596-4",3,3,1,2," Colônia Dona Luiza",125,460000
"358"," 149081-4",3,1,1,2," Orfãs",84,460000
"359"," 150862-4",2,1,1,1," Cará-cará",134,460000
"360"," 119800-4",4,3,1,3," Oficinas",502,460000
"363"," 146716-4",3,3,1,3," Uvaranas",181,460000
"364"," 154735-4",3,3,1,2," Colônia Dona Luiza",330,460000
"366"," 146515-4",3,4,0,2," Uvaranas",160,450000
"369"," 150811-4",3,4,0,2," Oficinas",220,450000
"370"," 20888-4",3,3,1,2," Boa Vista",735,450000
"371"," 98890-4",5,3,1,5," Orfãs",318,450000
"372"," 102764-4",4,3,2,3," Chapada",652,450000
"373"," 151067-4",3,3,1,1," Oficinas",223,450000
"378"," 107254-4",3,2,1,2," Nova Rússia",495,450000
"384"," 131494-4",4,2,0,2," Orfãs",384,450000
"386"," 143925-4",4,4,3,2," Chapada",300,450000
"388"," 127687-4",3,4,1,2," Centro",280,450000
"391"," 151286-4",4,2,0,3," Neves",194,450000
"396"," 128100-4",3,2,1,3," Estrela",200,450000
"399"," 144436-4",3,3,1,3," Jardim Carvalho",149,450000
"400"," 147128-4",3,1,0,6," Estrela",462,450000
"402"," 142833-4",3,3,1,2," Oficinas",223,450000
"411"," 125968-4",5,2,0,2," Centro",200,450000
"414"," 107532-4",3,2,1,1," Boa Vista",139,450000
"416"," 131819-4",3,1,0,1," Uvaranas",151,450000
"418"," 143338-4",3,3,1,2," Estrela",99,450000
"424"," 145817-4",3,3,1,2," Oficinas",225,450000
"427"," 129110-4",3,3,1,2," Nova Rússia",195,450000
"428"," 98258-4",4,3,1,2," Oficinas",223,450000
"429"," 146864-4",3,2,1,1," Jardim Carvalho",116,449000
"431"," 127645-4",3,3,1,2," Estrela",139,440000
"432"," 131536-4",3,2,1,2," Chapada",462,440000
"433"," 107456-4",3,1,1,1," Estrela",139,440000
"434"," 129917-4",3,3,1,2," Chapada",215,440000
"435"," 110774-4",3,2,0,1," Ronda",363,440000
"437"," 150809-4",3,4,1,2," Oficinas",220,435000
"438"," 148417-4",3,4,1,2," Oficinas",153,435000
"439"," 107450-4",2,1,1,2," Oficinas",110,435000
"440"," 146279-4",3,1,0,2," Oficinas",387,435000
"442"," 148420-4",3,1,0,2," Uvaranas",440,430000
"443"," 151066-4",3,3,1,1," Boa Vista",150,430000
"445"," 105522-4",4,2,1,1," Oficinas",462,430000
"446"," 99548-4",3,1,1,1," Estrela",400,430000
"448"," 147856-4",4,2,0,1," Uvaranas",185,430000
"450"," 125526-4",3,1,0,1," Orfãs",130,430000
"451"," 126530-4",3,3,1,2," Jardim Carvalho",133,430000
"452"," 107591-4",3,2,0,3," Uvaranas",170,430000
"453"," 110758-4",3,2,1,1," Jardim Carvalho",135,430000
"455"," 148182-4",3,2,1,2," Jardim Carvalho",116,429000
"456"," 147418-4",3,2,1,1," Jardim Carvalho",129,425000
"461"," 145000-4",3,2,1,2," Jardim Carvalho",200,420000
"464"," 99658-4",3,1,1,2," Uvaranas",560,420000
"467"," 144622-4",4,3,2,3," Nova Rússia",98,420000
"470"," 120461-4",2,3,1,2," Oficinas",238,420000
"472"," 126342-4",3,3,1,2," Nova Rússia",110,420000
"474"," 106329-4",3,3,1,2," Oficinas",400,420000
"475"," 111386-4",3,2,1,2," Oficinas",177,420000
"476"," 104625-4",3,2,1,1," Jardim Carvalho",120,420000
"478"," 127563-4",1,1,1,4," Uvaranas",200,415000
"479"," 125860-4",3,3,0,1," Uvaranas",196,415000
"481"," 127441-4",3,3,1,2," Ronda",129,415000
"483"," 107134-4",4,2,0,2," Boa Vista",409,410000
"484"," 127590-4",3,1,1,2," Ronda",100,410000
"485"," 151158-4",3,3,1,3," Colônia Dona Luiza",160,410000
"486"," 133626-4",3,3,1,1," Oficinas",123,410000
"487"," 145738-4",3,3,1,4," Cará-cará",130,410000
"488"," 154657-4",3,3,1,4," Estrela",137,410000
"489"," 132281-4",3,2,1,2," Oficinas",150,410000
"491"," 127646-4",3,3,1,2," Estrela",128,403000
"492"," 107463-4",3,1,1,1," Estrela",128,403000
"493"," 128027-4",3,3,1,2," Estrela",128,403000
"496"," 98506-4",3,2,1,2," Oficinas",119,4e+05
"497"," 145853-4",3,2,1,1," Jardim Carvalho",123,4e+05
"498"," 132610-4",3,2,0,1," Uvaranas",170,4e+05
"505"," 146854-4",3,2,0,2," Cará-cará",206,4e+05
"507"," 131513-4",3,2,0,2," Boa Vista",420,4e+05
"510"," 154213-4",3,2,1,2," Oficinas",113,4e+05
"516"," 132992-4",3,2,1,1," Jardim Carvalho",248,4e+05
"518"," 104184-4",3,3,1,2," Contorno / Sta. Paula",160,4e+05
"520"," 151647-4",3,2,1,2," Neves",210,4e+05
"522"," 148356-4",3,2,0,2," Uvaranas",155,4e+05
"524"," 148922-4",3,2,1,2," Chapada",560,4e+05
"533"," 131950-4",3,3,1,4," Uvaranas",150,395000
"535"," 143485-4",2,1,0,3," Contorno / Sta. Paula",110,395000
"537"," 130735-4",3,2,1,1," Oficinas",115,395000
"538"," 132111-4",3,1,0,3," Neves",607,390000
"539"," 130977-4",3,3,0,2," Boa Vista",210,390000
"540"," 102738-4",3,3,1,3," Chapada",195,390000
"541"," 111451-4",3,2,0,2," Uvaranas",462,390000
"542"," 146568-4",3,4,2,2," Neves",260,390000
"546"," 142995-4",3,4,1,2," Uvaranas",170,390000
"547"," 131539-4",3,1,0,3," Neves",607,390000
"548"," 130290-4",7,2,1,1," Boa Vista",250,390000
"551"," 111165-4",3,3,1,2," Oficinas",120,390000
"552"," 134269-4",3,2,0,2," Oficinas",180,390000
"556"," 110729-4",2,2,1,4," Uvaranas",250,385000
"558"," 153591-4",3,1,1,2," Jardim Carvalho",133,380000
"560"," 102715-4",3,3,1,2," Jardim Carvalho",138,380000
"562"," 127541-4",2,2,1,1," Oficinas",104,380000
"563"," 151064-4",4,3,1,3," Boa Vista",280,380000
"565"," 77266-4",3,2,2,3," Nova Rússia",180,380000
"566"," 20944-4",4,2,0,2," Oficinas",525,380000
"567"," 23269-4",3,3,1,1," Oficinas",117,380000
"569"," 133370-4",3,2,0,4," Jardim Carvalho",140,380000
"570"," 147291-4",3,1,0,3," Uvaranas",170,380000
"571"," 128555-4",3,2,0,1," Uvaranas",416,380000
"574"," 126936-4",3,1,0,2," Nova Rússia",80,380000
"575"," 46800-4",3,2,1,2," Centro",181,380000
"576"," 103165-4",3,2,1,1," Contorno / Sta. Paula",495,380000
"580"," 143522-4",2,1,0,4," Centro",149,380000
"582"," 144272-4",3,1,0,1," Uvaranas",490,380000
"584"," 146752-4",3,2,1,1," Uvaranas",92,380000
"586"," 18756-4",3,1,0,1," Centro",264,380000
"587"," 142928-4",3,3,1,2," Jardim Carvalho",187,379000
"591"," 153620-4",3,3,1,2," Uvaranas",105,375000
"593"," 148362-4",3,3,1,2," Ronda",144,375000
"597"," 127515-4",3,3,1,2," Jardim Carvalho",143,370000
"599"," 129489-4",4,3,1,2," Jardim Carvalho",120,370000
"601"," 130557-4",2,2,0,2," Boa Vista",120,370000
"602"," 132510-4",4,3,1,2," Jardim Carvalho",247,370000
"604"," 127271-4",3,3,1,2," Uvaranas",136,370000
"607"," 107049-4",3,2,1,3," Uvaranas",150,370000
"608"," 127472-4",3,2,1,2," Uvaranas",105,365000
"609"," 147035-4",3,3,1,1," Jardim Carvalho",87,365000
"610"," 129095-4",3,2,0,1," Uvaranas",260,365000
"612"," 151625-4",3,3,1,2," Jardim Carvalho",87,365000
"613"," 20886-4",3,1,0,2," Uvaranas",125,360000
"614"," 102744-4",3,2,1,2," Jardim Carvalho",100,360000
"617"," 148030-4",3,3,1,2," Ronda",130,360000
"625"," 134974-4",4,3,1,1," Uvaranas",143,360000
"630"," 132100-4",3,2,1,2," Uvaranas",195,360000
"633"," 127473-4",3,2,1,2," Uvaranas",105,350000
"634"," 129880-4",3,3,2,3," Uvaranas",217,350000
"635"," 20894-4",3,1,0,4," Uvaranas",352,350000
"636"," 127526-4",2,3,2,2," Uvaranas",140,350000
"637"," 151061-4",3,2,0,4," Uvaranas",120,350000
"638"," 143654-4",3,3,1,2," Ronda",113,350000
"639"," 134327-4",3,2,1,1," Uvaranas",140,350000
"640"," 147282-4",3,1,0,4," Boa Vista",135,350000
"641"," 154374-4",3,3,1,1," Jardim Carvalho",104,350000
"643"," 132002-4",3,2,1,5," Oficinas",159,350000
"644"," 147070-4",2,2,0,2," Nova Rússia",100,350000
"645"," 128574-4",3,1,0,2," Olarias",490,350000
"646"," 142993-4",3,2,1,1," Oficinas",120,350000
"647"," 127676-4",3,1,0,2," Uvaranas",152,350000
"649"," 130822-4",3,3,1,2," Boa Vista",180,350000
"650"," 126861-4",3,1,0,1," Centro",92,350000
"651"," 146623-4",2,1,0,1," Uvaranas",100,350000
"654"," 40261-4",3,1,0,2," Colônia Dona Luiza",110,350000
"663"," 132016-4",3,1,0,3," Uvaranas",85,350000
"664"," 52594-4",2,2,0,3," Nova Rússia",503,350000
"665"," 125977-4",3,1,0,2," Cará-cará",420,350000
"671"," 154441-4",2,1,0,4," Nova Rússia",90,350000
"674"," 96962-4",3,2,1,2," Uvaranas",180,350000
"679"," 107031-4",2,1,2,1," Uvaranas",140,350000
"680"," 144558-4",3,3,1,4," Uvaranas",330,350000
"684"," 144774-4",2,1,0,2," Boa Vista",100,350000
"685"," 146316-4",4,2,0,2," Olarias",429,350000
"686"," 127401-4",3,1,0,2," Neves",449,349000
"687"," 127372-4",3,2,0,1," Uvaranas",101,345000
"688"," 133664-4",3,3,0,2," Uvaranas",122,345000
"689"," 154215-4",3,3,1,1," Uvaranas",101,345000
"690"," 102689-4",4,3,1,2," Uvaranas",155,340000
"691"," 128081-4",3,2,1,3," Uvaranas",283,340000
"693"," 151058-4",2,1,0,2," Orfãs",120,340000
"694"," 151059-4",4,1,0,1," Contorno / Sta. Paula",120,340000
"696"," 20939-4",3,3,0,2," Nova Rússia",495,340000
"697"," 23028-4",2,3,2,2," Uvaranas",138,340000
"699"," 147802-4",2,1,0,2," Orfãs",510,340000
"701"," 128782-4",2,1,0,1," Uvaranas",114,340000
"702"," 130044-4",3,2,1,1," Ronda",90,340000
"704"," 144261-4",3,3,1,1," Colônia Dona Luiza",105,340000
"707"," 147202-4",4,3,2,2," Boa Vista",120,340000
"709"," 144334-4",3,2,0,2," Uvaranas",120,335000
"710"," 127466-4",3,3,1,2," Estrela",152,330000
"715"," 131481-4",3,3,1,1," Olarias",429,330000
"721"," 147597-4",3,2,0,2," Neves",130,330000
"731"," 68137-4",3,1,0,2," Boa Vista",190,330000
"733"," 150951-4",2,1,0,1," Contorno / Sta. Paula",300,320000
"735"," 129622-4",3,2,0,2," Ronda",462,320000
"737"," 151109-4",2,1,0,4," Orfãs",85,320000
"740"," 127876-4",4,1,0,4," Oficinas",450,320000
"744"," 128572-4",3,2,0,1," Uvaranas",160,320000
"745"," 147794-4",2,2,1,1," Jardim Carvalho",109,320000
"748"," 107364-4",3,3,0,2," Neves",108,320000
"749"," 134646-4",3,2,1,2," Uvaranas",180,320000
"751"," 110514-4",3,2,1,2," Jardim Carvalho",90,320000
"753"," 150367-4",2,2,1,2," Uvaranas",115,320000
"754"," 97102-4",3,2,0,2," Uvaranas",177,320000
"755"," 144295-4",3,3,1,1," Colônia Dona Luiza",105,320000
"757"," 120055-4",2,3,1,5," Uvaranas",170,320000
"758"," 120214-4",3,2,0,2," Nova Rússia",89,320000
"761"," 132764-4",3,1,0,1," Nova Rússia",140,319000
"762"," 148215-4",3,2,0,2," Jardim Carvalho",276,315000
"764"," 103124-4",3,3,1,2," Uvaranas",100,315000
"766"," 154653-4",3,2,0,3," Jardim Carvalho",275,312000
"770"," 143201-4",3,3,1,4," Oficinas",107,310000
"772"," 102815-4",3,2,1,2," Estrela",132,310000
"775"," 147351-4",3,2,0,1," Jardim Carvalho",104,310000
"779"," 119886-4",3,1,0,2," Jardim Carvalho",76,3e+05
"781"," 143401-4",3,2,1,1," Boa Vista",264,3e+05
"783"," 143409-4",3,2,1,2," Uvaranas",136,3e+05
"785"," 126856-4",3,1,1,1," Oficinas",100,3e+05
"786"," 151055-4",3,2,0,1," Contorno / Sta. Paula",100,3e+05
"787"," 102760-4",3,2,0,4," Neves",210,3e+05
"789"," 143200-4",4,3,1,4," Uvaranas",171,3e+05
"790"," 131010-4",3,2,1,1," Jardim Carvalho",125,3e+05
"795"," 127659-4",2,2,0,2," Nova Rússia",70,3e+05
"796"," 119953-4",3,1,0,2," Boa Vista",495,3e+05
"799"," 125399-4",3,2,0,2," Oficinas",436,3e+05
"800"," 129492-4",3,4,1,4," Uvaranas",200,3e+05
"802"," 131519-4",3,3,1,3," Contorno / Sta. Paula",275,3e+05
"803"," 150672-4",4,1,0,1," Contorno / Sta. Paula",320,3e+05
"807"," 142584-4",3,1,0,1," Jardim Carvalho",192,3e+05
"816"," 145616-4",3,2,1,1," Oficinas",450,3e+05
"817"," 146999-4",3,2,0,1," Chapada",462,3e+05
"818"," 127411-4",3,2,1,1," Boa Vista",576,3e+05
"821"," 127425-4",3,2,1,3," Boa Vista",150,3e+05
"822"," 131701-4",3,3,1,1," Chapada",144,299000
"823"," 147827-4",3,3,1,2," Estrela",79,299000
"826"," 143664-4",3,1,0,1," Uvaranas",490,295000
"828"," 128427-4",3,2,0,1," Neves",255,295000
"829"," 27563-4",4,3,1,3," Orfãs",322,295000
"830"," 130837-4",3,1,0,2," Oficinas",495,295000
"831"," 145565-4",3,2,1,1," Jardim Carvalho",91,295000
"832"," 128229-4",3,2,1,2," Nova Rússia",157,295000
"833"," 154919-4",4,2,0,2," Neves",418,295000
"834"," 130707-4",3,1,0,2," Oficinas",495,295000
"837"," 111017-4",3,1,0,1," Orfãs",100,290000
"838"," 134541-4",3,1,0,3," Jardim Carvalho",99,290000
"840"," 132597-4",2,1,0,2," Centro",320,290000
"843"," 151150-4",3,1,0,1," Neves",116,290000
"846"," 132237-4",2,1,0,2," Ronda",90,290000
"851"," 145796-4",3,3,1,2," Boa Vista",270,290000
"852"," 110768-4",3,1,0,1," Neves",275,290000
"856"," 151053-4",2,1,0,2," Uvaranas",160,289000
"860"," 154543-4",3,1,0,1," Uvaranas",80,285000
"861"," 131719-4",3,3,1,2," Jardim Carvalho",95,285000
"862"," 27557-4",3,2,1,2," Contorno / Sta. Paula",280,285000
"863"," 103123-4",3,3,1,2," Uvaranas",100,285000
"865"," 126979-4",3,3,1,2," Uvaranas",99,285000
"866"," 128512-4",3,2,1,3," Jardim Carvalho",130,285000
"867"," 110762-4",3,3,1,2," Uvaranas",120,285000
"868"," 127478-4",3,2,0,2," Ronda",200,280000
"870"," 126851-4",2,1,0,1," Chapada",85,280000
"871"," 154630-4",2,2,1,2," Uvaranas",107,280000
"880"," 79970-4",4,2,0,2," Uvaranas",360,280000
"881"," 133604-4",3,2,0,1," Neves",140,280000
"883"," 148010-4",3,2,1,4," Oficinas",140,280000
"885"," 107294-4",3,2,1,4," Uvaranas",340,280000
"886"," 107303-4",3,1,0,3," Neves",110,280000
"889"," 109219-4",2,1,0,1," Nova Rússia",102,280000
"892"," 131523-4",3,2,0,2," Oficinas",480,280000
"893"," 131528-4",3,1,0,1," Olarias",293,280000
"894"," 103096-4",2,2,0,2," Uvaranas",366,280000
"896"," 127774-4",3,3,0,3," Uvaranas",100,280000
"897"," 84846-4",2,2,1,3," Contorno / Sta. Paula",336,280000
"899"," 132017-4",5,1,0,4," Oficinas",120,280000
"900"," 132078-4",3,1,0,3," Uvaranas",375,280000
"902"," 132466-4",2,1,0,1," Jardim Carvalho",70,280000
"903"," 132958-4",3,1,0,4," Jardim Carvalho",140,280000
"904"," 132479-4",3,1,1,1," Chapada",91,280000
"905"," 150860-4",3,2,1,2," Uvaranas",98,280000
"907"," 147154-4",4,3,1,4," Contorno / Sta. Paula",200,280000
"908"," 120280-4",3,1,0,2," Uvaranas",462,280000
"909"," 126571-4",3,2,1,2," Boa Vista",91,280000
"912"," 127270-4",2,1,0,1," Uvaranas",80,280000
"916"," 148924-4",3,1,0,1," Oficinas",118,280000
"917"," 154734-4",6,2,0,1," Contorno / Sta. Paula",120,280000
"920"," 154780-4",2,1,0,2," Oficinas",307,280000
"922"," 144997-4",3,2,0,2," Olarias",145,280000
"928"," 134945-4",3,3,1,1," Boa Vista",130,275000
"931"," 111536-4",3,2,1,2," Contorno / Sta. Paula",83,270000
"932"," 132351-4",3,2,0,4," Estrela",120,270000
"935"," 126398-4",3,2,0,1," Oficinas",87,270000
"936"," 153624-4",3,3,1,2," Uvaranas",98,270000
"937"," 125800-4",3,3,1,1," Uvaranas",100,270000
"939"," 131501-4",4,2,1,2," Uvaranas",445,270000
"940"," 145306-4",3,1,0,3," Jardim Carvalho",75,270000
"943"," 131541-4",3,2,0,4," Estrela",120,270000
"945"," 85382-4",4,2,1,2," Contorno / Sta. Paula",220,270000
"946"," 142845-4",3,2,0,2," Uvaranas",150,270000
"949"," 142582-4",3,2,1,3," Neves",165,270000
"951"," 129251-4",3,2,0,1," Estrela",120,270000
"954"," 119821-4",3,2,0,2," Contorno / Sta. Paula",135,270000
"957"," 131864-4",3,2,1,2," Chapada",207,270000
"959"," 111010-4",4,3,0,1," Uvaranas",110,270000
"961"," 151045-4",5,2,0,1," Oficinas",170,265000
"962"," 147974-4",2,2,0,1," Uvaranas",120,265000
"963"," 127536-4",3,1,1,2," Jardim Carvalho",105,265000
